BlockType,TargetType,Stimulus,Stim_CRESP
Rec,newplace,Stimuli/PL_051_SCENE08.bmp,New
Rec,newnegface,Stimuli/37M_FO.bmp,New
Rec,oldnegface,Stimuli/10F_FO.bmp,Old
Rec,oldposface,Stimuli/BF002_HO.bmp,Old
Rec,newplace,Stimuli/PL_053_SCENE15.bmp,New
Rec,newposface,Stimuli/18F_HO.bmp,New
Rec,oldneutface,Stimuli/7F_NC.bmp,Old
Rec,newneutface,Stimuli/AF219_NC.bmp,New
Rec,oldneutface,Stimuli/26M_NC.bmp,Old
Rec,oldplace,Stimuli/PL_007_92026.bmp,Old
Rec,newposface,Stimuli/HM01_HO.bmp,New
Rec,oldposface,Stimuli/BM08_HO.bmp,Old
Rec,newnegface,Stimuli/WF015_FO.bmp,New
Rec,oldnegface,Stimuli/AM05_FO.bmp,Old
Rec,newnegface,Stimuli/BF05_FO.bmp,New
Rec,oldneutface,Stimuli/AM04_NC.bmp,Old
Rec,newplace,Stimuli/PL_094_O6.1.bmp,New
Rec,oldplace,Stimuli/PL_046_SCENE03.bmp,Old
Rec,newneutface,Stimuli/BF03_NC.bmp,New
Rec,oldposface,Stimuli/32M_HO.bmp,Old
Rec,newposface,Stimuli/BM01_HO.bmp,New
Rec,oldposface,Stimuli/BM06_HO.bmp,Old
Rec,newneutface,Stimuli/AM204_NC.bmp,New
Rec,newnegface,Stimuli/AF01_FO.bmp,New
Rec,newplace,Stimuli/PL_091_O5.1.bmp,New
Rec,oldnegface,Stimuli/43M_FO.bmp,Old
Rec,oldneutface,Stimuli/BM04_NC.bmp,Old
Rec,oldplace,Stimuli/PL_045_SCENE02.bmp,Old
Rec,newposface,Stimuli/2F_HO.bmp,New
Rec,newposface,Stimuli/31M_HO.bmp,New
Rec,newneutface,Stimuli/LM242_NC.bmp,New
Rec,oldplace,Stimuli/PL_044_SCENE01.bmp,Old
Rec,oldposface,Stimuli/HF02_HO.bmp,Old
Rec,newnegface,Stimuli/38M_FO.bmp,New
Rec,oldneutface,Stimuli/LF209_NC.bmp,Old
Rec,newplace,Stimuli/PL_093_O57.1.bmp,New
Rec,oldneutface,Stimuli/AF216_NC.bmp,Old
Rec,newneutface,Stimuli/30M_NC.bmp,New
Rec,newnegface,Stimuli/WM03_FO.bmp,New
Rec,newplace,Stimuli/PL_100_O82.1.bmp,New
Rec,newposface,Stimuli/BF009_HO.bmp,New
Rec,oldnegface,Stimuli/WF034_FO.bmp,Old
Rec,oldplace,Stimuli/PL_041_LEXINGTON17.bmp,Old
Rec,oldnegface,Stimuli/BF10_FO.bmp,Old
Rec,oldposface,Stimuli/19F_HO.bmp,Old
Rec,oldneutface,Stimuli/WF02_NC.bmp,Old
Rec,oldplace,Stimuli/PL_043_LEXINGTON19.bmp,Old
Rec,oldplace,Stimuli/PL_047_SCENE04.bmp,Old
Rec,newneutface,Stimuli/AF201_NC.bmp,New
Rec,newneutface,Stimuli/LF207_NC.bmp,New
Rec,newplace,Stimuli/PL_096_O69.1.bmp,New
Rec,oldnegface,Stimuli/3F_FO.bmp,Old
Rec,newposface,Stimuli/AM02_HO.bmp,New
Rec,newnegface,Stimuli/BM028_FO.bmp,New
Rec,oldposface,Stimuli/29M_HO.bmp,Old
Rec,oldposface,Stimuli/13F_HO.bmp,Old
Rec,newnegface,Stimuli/15F_FO.bmp,New
Rec,newposface,Stimuli/BF018_HO.bmp,New
Rec,newplace,Stimuli/PL_090_O47.1.bmp,New
Rec,oldnegface,Stimuli/BM023_FO.bmp,Old
Rec,oldneutface,Stimuli/AM210_NC.bmp,Old
