TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,triggercode,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
target,All,AF218_NC.bmp,None,Faces,Cue0Back,,2.0,0,11,11,11,,0,,39933,,,,39443,39443,39932,,,500,,,,,,,,,,,,,39933,42433,39933,42433,2500,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,LF206_NC.bmp,12,NeutFace,0-Back,No Match,2.0,0,12,12,12,,0,No Match,,,,,,,,,,,0,42442,44434,2000,42442,44434,0,44434,44434,500,44933,44933,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
target,All,AF218_NC.bmp,13,NeutFace,0-Back,Match,2.0,0,13,13,13,,0,Match,,,,,,,,,,,0,44938,46933,2000,44939,46933,0,46933,46933,500,47433,47433,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,42M_NC.bmp,14,NeutFace,0-Back,No Match,2.0,0,14,14,14,,0,No Match,,,,,,,,,,,0,47443,49434,2000,47444,49434,0,49434,49434,500,49933,49934,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,BM09_NC.bmp,15,NeutFace,0-Back,No Match,2.0,0,15,15,15,,0,No Match,,,,,,,,,,,0,49944,51934,2000,49944,51934,0,51934,51935,500,52434,52434,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
lure,All,BM09_NC.bmp,16,NeutFace,0-Back,No Match,2.0,0,16,16,16,,0,No Match,,,,,,,,,,,0,52440,54435,2000,52440,54435,0,54435,54435,500,54934,54934,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
target,All,AF218_NC.bmp,17,NeutFace,0-Back,Match,2.0,0,17,17,17,,0,Match,,,,,,,,,,,0,54940,56935,2000,54940,56935,0,56935,56935,500,57434,57435,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,7F_NC.bmp,18,NeutFace,0-Back,No Match,2.0,0,18,18,18,,0,No Match,,,,,,,,,,,0,57445,59435,2000,57445,59435,0,59435,59435,500,59935,59935,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
lure,All,7F_NC.bmp,19,NeutFace,0-Back,No Match,2.0,0,19,19,19,,0,No Match,,,,,,,,,,,0,59941,61935,2000,59941,61935,0,61935,61935,500,62435,62435,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
lure,All,42M_NC.bmp,20,NeutFace,0-Back,No Match,2.0,0,20,20,20,,0,No Match,,,,,,,,,,,0,62444,64436,2000,62444,64436,0,64436,64436,500,64935,64935,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,LM207_NC.bmp,21,NeutFace,0-Back,No Match,2.0,0,21,21,21,,0,No Match,,,,,,,,,,,0,64946,66937,2000,64946,66937,0,66937,66937,500,67436,67436,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
None,All,None,None,None,Fix15secPROC,,None,0,22,22,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67439,15000,82438,67439,82438,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
None,All,None,None,Faces,Cue2Back,,3.0,0,23,23,23,,0,,82939,82939,85439,85439,82443,82443,82939,2500,82939,500,,,,,,,,,,,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,17F_FO.bmp,22,NegFace,2-Back,No Match,3.0,0,24,24,24,,0,No Match,,,,,,,,,,,0,85449,87439,2000,85449,87439,0,87439,87439,500,87938,87939,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
